_id,name_cn,name_en,type,show_time,score,avatar
1215408,哈利·波特：一段魔法史,Harry Potter: A History of Magic,纪录片,2017-12-25英国上映,7.5,https://p0.meituan.net/movie/ac2e6f54581c5cc1ec8ed0d291c359a8323662.jpg@1l_1e_1c_128w_180h
410629,阿丽塔：战斗天使,Alita: Battle Angel,"动作,冒险,科幻",2019-02-22中国大陆上映,9.0,https://p0.meituan.net/movie/fc4dd6cd0c6f7db566a128cc05c475355664427.jpg@1l_1e_1c_128w_180h
345011,建军大业,The Founding of an Army,"剧情,历史",2017-07-27中国大陆上映,9.1,https://p0.meituan.net/movie/e2807e23064278d4a279a7ac6b87dea5382527.jpg@1l_1e_1c_128w_180h
1300746,蜡笔小新：激战！涂鸦王国和约四位勇士,映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者,动画,2020-04-24日本上映,暂无评分,https://p0.meituan.net/movie/e8b0add0f8ecd3e17eab32708d9cfe50185181.jpg@1l_1e_1c_128w_180h
346272,捉妖记2,Monster Hunt 2,"喜剧,奇幻",2018-02-16中国大陆上映,8.2,https://p0.meituan.net/movie/988f1c9c0855f93da6cbd2b4aaac3475368872.jpg@1l_1e_1c_128w_180h
1211482,熊出没·变形记,BOONIE BEARS : THE BIG SHRINK,"喜剧,动画,冒险",2018-02-16中国大陆上映,9.1,https://p0.meituan.net/movie/8a99acbac01d5fa5120a1ad9cf9643e0231700.jpg@1l_1e_1c_128w_180h
1242186,前哨,The Outpost,"剧情,历史,战争",2020-07-03美国上映,6.8,https://p1.meituan.net/movie/e638172bc2ce668ad6fb45db8fe61d11132428.jpg@1l_1e_1c_128w_180h
248645,变形金刚5：最后的骑士,Transformers: The Last Knight,"动作,冒险,科幻",2017-06-23中国大陆上映,7.5,https://p1.meituan.net/movie/56a4462630e3b730e1566de430ff4939385052.jpg@1l_1e_1c_128w_180h
78460,环太平洋：雷霆再起,Pacific Rim: Uprising,"动作,冒险,科幻",2018-03-23中国大陆上映,8.1,https://p1.meituan.net/movie/34f670e7776c2995ef58fea0eed8a36c340966.jpg@1l_1e_1c_128w_180h
1228869,半个喜剧,Almost a Comedy,"爱情,喜剧",2019-12-20中国大陆上映,9.0,https://p0.meituan.net/movie/9064b787a533d85fa2d2f8ad486351861051512.jpg@1l_1e_1c_128w_180h
1203,霸王别姬,Farewell My Concubine,"剧情,爱情",1993-07-26中国大陆上映,9.5,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@1l_1e_1c_128w_180h
78410,冰雪奇缘,Frozen,"喜剧,动画,歌舞,奇幻",2014-02-05中国大陆上映,9.5,https://p1.meituan.net/movie/fedbc276e6d499a0058bcd2debf8bb5f306092.jpg@1l_1e_1c_128w_180h
47457,黑寡妇,Black Widow,"悬疑,惊悚,犯罪",2008-02-21中国大陆上映,4.7,https://p1.meituan.net/movie/c5327ada3d17c40a2abd7ddbc16e277383558.jpg@1l_1e_1c_128w_180h
